CountyName	RaceID	RaceName	BallotID	BallotName	Votes	TotalBallotsCastByRace	PartyName
Kitsap	17	Washington State State Auditor	22785	James Watkins	23766	50838	(Prefers Republican Party)
Kitsap	17	Washington State State Auditor	25686	Mark Miloscia	4839	50838	(Prefers Democratic Party)
Kitsap	17	Washington State State Auditor	25425	Craig Pridemore	9061	50838	(Prefers Democratic Party)
Kitsap	18	Washington State Attorney General	24100	Bob Ferguson	26812	52603	(Prefers Democratic Party)
Kitsap	18	Washington State Attorney General	22967	Reagan Dunn	19868	52603	(Prefers Republican Party)
Kitsap	18	Washington State Attorney General	25162	Stephen Pidgeon	5923	52603	(Prefers Republican Party)
Kitsap	19	Washington State Commissioner of Public Lands	27181	Stephen A. Sharon	4237	52107	(States No Party Preference)
Kitsap	19	Washington State Commissioner of Public Lands	22479	Peter J. Goldmark	27009	52107	(Prefers Democratic Party)
Kitsap	19	Washington State Commissioner of Public Lands	27283	Clint Didier	20861	52107	(Prefers Republican Party)
Kitsap	20	Washington State Superintendent of Public Instruction	24486	James Bauckman	6239	46343	
Kitsap	20	Washington State Superintendent of Public Instruction	22926	Randy I. Dorn	25408	46343	
Kitsap	20	Washington State Superintendent of Public Instruction	25932	Don Hansler	5133	46343	
Kitsap	20	Washington State Superintendent of Public Instruction	25087	John Patterson Blair	2661	46343	
Kitsap	20	Washington State Superintendent of Public Instruction	27177	Ronald L. (Ron) Higgins	6902	46343	
Kitsap	21	Washington State Insurance Commissioner	24724	John R. Adams	11639	51772	(Prefers Republican Party)
Kitsap	21	Washington State Insurance Commissioner	23279	Mike Kreidler	27884	51772	(Prefers Democratic Party)
Kitsap	21	Washington State Insurance Commissioner	25866	Scott Reilly	9995	51772	(Prefers Republican Party)
Kitsap	21	Washington State Insurance Commissioner	24732	Brian C. Berend	2254	51772	(Prefers Independent Party)
Kitsap	295	Legislative District 23 State Senator	27406	Bret A. Treadwell	10606	30407	(Prefers Republican Party)
Kitsap	295	Legislative District 23 State Senator	24717	Christine Rolfes	19801	30407	(Prefers Democratic Party)
Kitsap	296	Legislative District 23 State Representative Pos. 1	23365	Sherry V. Appleton	18554	30679	(Prefers Democratic Party)
Kitsap	296	Legislative District 23 State Representative Pos. 1	26725	Tony Stephens	12125	30679	(Prefers Republican Party)
Kitsap	297	Legislative District 23 State Representative Pos. 2	24713	Drew Hansen	15903	30086	(Prefers Democratic Party)
Kitsap	297	Legislative District 23 State Representative Pos. 2	23391	James M. Olsen	12122	30086	(Prefers Republican Party)
Kitsap	297	Legislative District 23 State Representative Pos. 2	27814	Henning B. Larsen	2061	30086	(Prefers Democratic Party)
Kitsap	305	Legislative District 26 State Representative Pos. 1	25613	Karin Ashabraner	3922	14608	(Prefers Democratic Party)
Kitsap	305	Legislative District 26 State Representative Pos. 1	24309	Jan Angel	8539	14608	(Prefers Republican Party)
Kitsap	305	Legislative District 26 State Representative Pos. 1	26478	Stephen Greer	2147	14608	(Prefers Democratic Party)
Kitsap	306	Legislative District 26 State Representative Pos. 2	25362	Doug Richards	6729	14580	(Prefers Republican Party)
Kitsap	306	Legislative District 26 State Representative Pos. 2	25171	Larry Seaquist	7851	14580	(Prefers Democratic Party)
Kitsap	332	Legislative District 35 State Representative Pos. 1	25426	Kathy Haigh	3881	7757	(Prefers Democratic Party)
Kitsap	332	Legislative District 35 State Representative Pos. 1	24095	Dan Griffey	3876	7757	(Prefers Republican Party)
Kitsap	333	Legislative District 35 State Representative Pos. 2	22812	Lynda Ring-Erickson	2312	7635	(Prefers Democratic Party)
Kitsap	333	Legislative District 35 State Representative Pos. 2	22767	Drew C. MacEwen	3480	7635	(Prefers Republican Party)
Kitsap	333	Legislative District 35 State Representative Pos. 2	25358	Jeff Davis	1399	7635	(Prefers Democratic Party)
Kitsap	333	Legislative District 35 State Representative Pos. 2	22910	Glenn H. Gaither	444	7635	(Prefers Independent Party)
Kitsap	23	Supreme Court Justice Position 2	25308	Douglas W. McQuaid	12311	46567	
Kitsap	23	Supreme Court Justice Position 2	22696	Susan Owens	28088	46567	
Kitsap	23	Supreme Court Justice Position 2	25901	Scott Stafne	6168	46567	
Kitsap	29	Supreme Court Justice Position 8	27584	Bruce O. Danielson	20549	46832	
Kitsap	29	Supreme Court Justice Position 8	22800	Steve Gonzalez	26283	46832	
Kitsap	30	Supreme Court Justice Position 9	23014	Bruce Hilyer	10921	47292	
Kitsap	30	Supreme Court Justice Position 9	22992	Sheryl Gordon McCloud	15785	47292	
Kitsap	30	Supreme Court Justice Position 9	24650	Richard B. Sanders	13865	47292	
Kitsap	30	Supreme Court Justice Position 9	24241	John W. Ladenburg	6721	47292	
Kitsap	45	Court of Appeals, Division 2, District 2 Judge Position 2	23567	Thomas Bjorgen	8060	45717	
Kitsap	45	Court of Appeals, Division 2, District 2 Judge Position 2	22783	Pamela (Pam) Loginsky	12617	45717	
Kitsap	45	Court of Appeals, Division 2, District 2 Judge Position 2	23894	Thomas (Tom) E. Weaver, Jr.	7534	45717	
Kitsap	45	Court of Appeals, Division 2, District 2 Judge Position 2	23573	Michael Lynch	6734	45717	
Kitsap	45	Court of Appeals, Division 2, District 2 Judge Position 2	25893	Brendan Williams	4882	45717	
Kitsap	45	Court of Appeals, Division 2, District 2 Judge Position 2	24979	Jim Foley	5890	45717	
Kitsap	96	Kitsap Superior Court Judge Position 7	23587	Jennifer Forbes	23078	46833	
Kitsap	96	Kitsap Superior Court Judge Position 7	25410	Rob MacDermid	7924	46833	
Kitsap	96	Kitsap Superior Court Judge Position 7	23569	Bill Houser	6608	46833	
Kitsap	96	Kitsap Superior Court Judge Position 7	24711	Karen Klein	9223	46833	
Kittitas	2	United States U.S. Senator	23036	Michael Baumgartner	3225	8562	(Prefers Republican Party)
Kittitas	2	United States U.S. Senator	27435	Will Baker	139	8562	(Prefers Reform Party)
